name,description,file type,suffix,dbname,dbkey,input file
REF_FP,Reference shape master FP calibration file,.fits,_fpref,calibration,FPREF,FP_FP
SHAPE_X,Reference shape dx calibration file,.fits,_shapex,calibration,SHAPEX,FP_FP
SHAPE_Y,Reference shape dy calibration file,.fits,_shapey,calibration,SHAPEY,FP_FP
SHAPE_IN_FP,Input FP file for shape comparison,.fits,_shape_in_fp,--,--,FP_FP
SHAPE_IN_HC,Input Hollow Cathode file forshape comparison,.fits,_shape_in_hc,--,--,HCONE_HCONE
SHAPE_OUT_FP,Output FP file for shape comparison,.fits,_shape_out_fp,--,--,FP_FP
SHAPE_OUT_HC,Output Hollow Cathode file forshape comparison,.fits,_shape_out_hc,--,--,HCONE_HCONE
SHAPE_BDX,Shape transformed dx comparison file,.fits,_shape_out_bdx,--,--,FP_FP
DEBUG_BACK,Individual file background map,.fits,_background.fits,--,--,DRS_PP
