name,description,HDR[DRSOUTID],file type,suffix,basename,fibers,dbname,dbkey,input file
ABSO_NPY,Telluric absorption temporary file 1,--,.npy,--,tellu_save.npy,--,--,--,--
ABSO1_NPY,Telluric absorption temporary file 2,--,.npy,--,tellu_save1.npy,--,--,--,--
TELLU_OBJ,Telluric corrected extracted 2D spectrum,TELLU_OBJ,.fits,_e2dsff_tcorr,--,A,telluric,TELLU_OBJ,EXT_E2DS_FF
SC1D_W_FILE,Telluric corrected extracted 1D spectrum (constant wavelength binning),SC1D_W_FILE,.fits,_s1d_w_tcorr,--,A,--,--,EXT_E2DS_FF
SC1D_V_FILE,Telluric corrected extracted 1D spectrum (constant velocity binning),SC1D_V_FILE,.fits,_s1d_v_tcorr,--,A,--,--,EXT_E2DS_FF
TELLU_RECON,Telluric reconstructed 2D absorption file,TELLU_RECON,.fits,_e2dsff_recon,--,A,telluric,TELLU_RECON,EXT_E2DS_FF
RC1D_W_FILE,Telluric reconstructed 1D absorption file (constant wavelength binning),RC1D_W_FILE,.fits,_s1d_w_recon,--,A,--,--,EXT_E2DS_FF
RC1D_V_FILE,Telluric reconstructed 1D absorption file (constant velocity binning),RC1D_V_FILE,.fits,_s1d_v_recon,--,A,--,--,EXT_E2DS_FF
TELLU_SCLEAN,Sky-cleaning file,TELLU_SCLEAN,.fits,_tellu_sclean.fits,--,--,--,--,EXT_E2DS_FF
TELLU_PCLEAN,Telluric pre-cleaning file,TELLU_PCLEAN,.fits,_tellu_pclean,--,A,telluric,TELLU_PCLEAN,EXT_E2DS_FF
