ORDER,RECIPE,SHORTNAME,RECIPE KIND,MASTER RECIPE,FIBER,FILTERS,ARGS,KWARGS
1,apero_preprocess_spirou.py,PP,pre-all,No,--,--,,
2,apero_dark_master_spirou.py,DARKM,calib-master,Yes,--,--,,
3,apero_badpix_spirou.py,BADM,calib-master,Yes,--,--,,
4,apero_loc_spirou.py,LOCMC,calib-master-C,Yes,--,--,{files}=[DARK_FLAT],
5,apero_loc_spirou.py,LOCMAB,calib-master-AB,Yes,--,--,{files}=[FLAT_DARK],
6,apero_shape_master_spirou.py,SHAPEM,calib-master,Yes,--,--,,
7,apero_shape_spirou.py,SHAPELM,calib-master,Yes,--,--,,
8,apero_flat_spirou.py,FLATM,calib-master,Yes,--,--,,
9,apero_thermal_spirou.py,THERM_M,calib-master,Yes,--,--,,
10,apero_leak_master_spirou.py,LEAKM,calib-master,Yes,--,--,,
11,apero_wave_master_spirou.py,WAVEM,calib-master,Yes,--,--,,--hcfiles=[HCONE_HCONE] |br| --fpfiles=[FP_FP]
12,apero_badpix_spirou.py,BAD,calib-night,No,--,--,,
13,apero_loc_spirou.py,LOCC,calib-night-C,No,--,--,{files}=[DARK_FLAT],
14,apero_loc_spirou.py,LOCAB,calib-night-AB,No,--,--,{files}=[FLAT_DARK],
15,apero_shape_spirou.py,SHAPE,calib-night,No,--,--,,
16,apero_flat_spirou.py,FF,calib-night,No,--,--,{files}=[FLAT_FLAT],
17,apero_thermal_spirou.py,THERM,calib-night,No,--,--,,
18,apero_wave_night_spirou.py,WAVE,calib-night,No,--,--,,
19,apero_extract_spirou.py,EXTTELL,extract-hotstar,No,--,KW_OBJNAME: TELLURIC_TARGETS,"{files}=[OBJ_DARK, OBJ_FP, POLAR_FP, POLAR_DARK]",
20,apero_extract_spirou.py,EXTOBJ,extract-science,No,--,KW_OBJNAME: SCIENCE_TARGETS,"{files}=[OBJ_DARK, OBJ_FP, POLAR_FP, POLAR_DARK]",
21,apero_mk_tellu_spirou.py,MKTELLU1,tellu-hotstar,No,AB,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_DARK, POLAR_FP",{files}=[EXT_E2DS_FF],
22,apero_mk_model_spirou.py,MKTMOD1,tellu-hotstar,No,--,--,,
23,apero_fit_tellu_spirou.py,MKTFIT,tellu-hotstar,No,AB,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_DARK, POLAR_FP",{files}=[EXT_E2DS_FF],
24,apero_mk_template_spirou.py,MKTEMP,tellu-hotstar,No,AB,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_DARK, POLAR_FP",,
25,apero_mk_tellu_spirou.py,MKTELLU2,tellu-hotstar,No,AB,"KW_OBJNAME: TELLURIC_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_DARK, POLAR_FP",{files}=[EXT_E2DS_FF],
26,apero_mk_model_spirou.py,MKTMOD2,tellu-hotstar,No,--,--,,
27,apero_fit_tellu_spirou.py,FTFIT1,tellu-science,No,AB,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_DARK, POLAR_FP",{files}=[EXT_E2DS_FF],
28,apero_mk_template_spirou.py,FTTEMP,tellu-science,No,AB,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_DARK, POLAR_FP",,
29,apero_fit_tellu_spirou.py,FTFIT2,tellu-science,No,AB,"KW_OBJNAME: SCIENCE_TARGETS |br| KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_DARK, POLAR_FP",{files}=[EXT_E2DS_FF],
30,apero_ccf_spirou.py,CCF,rv-tcorr,No,AB,"KW_DPRTYPE: OBJ_DARK, OBJ_FP, POLAR_DARK, POLAR_FP |br| KW_OBJNAME: SCIENCE_TARGETS",{files}=[TELLU_OBJ],
31,apero_pol_spirou.py,POLAR,polar-tcorr,No,AB,"KW_DPRTYPE: POLAR_FP, POLAR_DARK |br| KW_OBJNAME: SCIENCE_TARGETS",,--exposures=[TELLU_OBJ]
32,apero_postprocess_spirou.py,SCIPOST,post-science,No,--,"KW_DPRTYPE: OBJ_FP, OBJ_DARK, POLAR_DARK, POLAR_FP |br| KW_OBJNAME: SCIENCE_TARGETS",{files}=[DRS_PP],
